id,user_referral_id,source_transaction_id,created_at,is_reward_granted
1,433df86639089a01ce358b27aebdf19f,null,2024-06-02T20:42:09Z,FALSE
2,ea4d6702e73d722499c47bbe494214be,null,2024-06-25T07:57:00Z,FALSE
3,7a03e01e0c17b2322845242a796adb5e,null,2024-04-29T10:25:56Z,FALSE
4,61717d106753428549731b63554d70a5,null,2024-05-13T06:35:37Z,FALSE
5,99ad142bc25863b18014cad08a728fb2,null,2024-06-14T11:36:54Z,FALSE
6,7a03e01e0c17b2322845242a796adb5e,null,2024-04-22T15:22:55Z,FALSE
7,c35be100e984b2f89bdf93cad9711424,null,2024-06-13T04:22:35Z,FALSE
8,7a03e01e0c17b2322845242a796adb5e,null,2024-04-28T08:48:13Z,FALSE
9,94c879700ebaca070e85035b8a28fc2c,null,2024-05-24T10:43:26Z,FALSE
10,1ca327db0b1f53655feef1742df1a3b8,null,2024-06-03T09:56:58Z,FALSE
11,83cb4022ced1647a1cdd9380b8106a19,aa7f55497ab7a5842145c6c58e1395c2,2024-07-08T06:38:21Z,TRUE
12,835e990334fe52dec832043f19ddfd07,null,2024-05-14T06:08:30Z,FALSE
13,22b4296ca3b8c6f364515534e361b2cb,null,2024-05-24T12:49:55Z,FALSE
14,f1d8fef43d44a2dae6e8f49fd12f9d30,null,2024-06-02T20:33:57Z,FALSE
15,a95d6a6cefee850333bb2df257cb2f79,null,2024-05-21T09:49:46Z,FALSE
16,b5f8e3153bcfd7dce0b868b790ab9f68,null,2024-07-05T08:35:10Z,FALSE
17,7a03e01e0c17b2322845242a796adb5e,null,2024-04-29T04:03:18Z,FALSE
18,9432fe728f13fffab9cf56818fc1abdb,null,2024-06-11T10:13:11Z,FALSE
19,d52b455ebb5d070df9637c2bccafc583,null,2024-06-11T10:54:37Z,FALSE
20,ce02d9de7eb3845c4856adc54e7b6200,3efa130b4bcb9b0675e0c5ac526b1e33,2024-07-09T09:29:05Z,TRUE
21,678d8990730250f8001c25a7da8f05d4,null,2024-03-08T11:33:50Z,FALSE
22,932104954f240a5188db03fcf62bd822,null,2024-06-11T09:45:18Z,FALSE
23,e1d2d2cc4a6df4089bc731f4263640ca,701ee6fa1925773ad8e13f1f6b7293ae,2024-07-05T09:56:15Z,TRUE
24,7a03e01e0c17b2322845242a796adb5e,null,2024-04-28T10:27:03Z,FALSE
25,ff72af3d62ca200a17a7edb67d2c634b,441dc9d263135dfc7f7cd52b71a91cec,2024-07-05T10:43:19Z,TRUE
26,8fc1a3f59033ba9fc1d2c4fc55b1ff14,null,2024-06-02T20:12:59Z,FALSE
27,a5ec720f3249585370a4230ffe313f3b,null,2024-06-04T08:05:54Z,FALSE
28,7a03e01e0c17b2322845242a796adb5e,null,2024-04-28T08:42:00Z,FALSE
29,384755b4689a51d76f2881d087a28140,null,2024-06-13T04:52:55Z,FALSE
30,9e9324e6fde29bb0d230654b38ccfdd4,null,2024-05-14T06:17:36Z,FALSE
31,3c2d868e7310b1690f1e7429d04b4c6b,null,2024-05-01T05:36:23Z,FALSE
32,7a03e01e0c17b2322845242a796adb5e,null,2024-04-29T10:23:38Z,FALSE
33,119330b602a0e3bc0b66487b6c53ec19,91273b98dd4ab2ac704baed2329670d2,2024-07-05T18:56:06Z,TRUE
34,7774d59b6c5d6d49605f34a194319e3b,null,2024-06-03T09:24:16Z,FALSE
35,8591312e94d986949f33a5be60bfbb07,null,2024-06-02T20:44:04Z,FALSE
36,91cb44da0c32149024e3bd113c3e2b11,null,2024-06-05T04:21:46Z,FALSE
37,e631f80c734285d10d5c97021af1179c,null,2024-06-04T07:56:47Z,FALSE
38,82e7ec73d7700d10df5d39152a1be99b,37e333214559ae0ef1d3dd0f05a88fb3,2024-07-10T06:30:31Z,TRUE
39,b15e59ed156a329cdde9dd29735b2ba7,0d5745a60be9f0d9163c99c91fd61efc,2024-07-08T11:07:17Z,TRUE
40,baaa13f8d2afa6511f3b77b12d8f21c2,null,2024-06-03T09:29:51Z,FALSE
41,61c8f28909b373e0794e1fac8cafaf49,null,2024-05-28T10:37:52Z,FALSE
42,18e3534d1666e62f628c14f6ebfd79e7,null,2024-06-04T08:06:59Z,FALSE
43,7bec810a4e314111ec9ada75ba783b75,null,2024-06-10T10:23:53Z,FALSE
44,7a03e01e0c17b2322845242a796adb5e,null,2024-04-29T10:00:32Z,FALSE
45,fdfde6cb21841dad79469d4a3fcaad27,8da091c2cab51b8aef9b879bf66c012c,2024-07-08T03:56:21Z,TRUE
46,4fcd4f2959a4aeded9ac153d9d968c6e,315005220778899aa196df433f7a4b2c,2024-07-09T08:05:09Z,TRUE
47,2b1b883b430bb2867ed15f9f162ec1dd,null,2024-05-28T11:06:01Z,FALSE
48,fc43d6bec580e44fe4a696760ef68ba4,1a38a3d929b892b855a5aebab3a7da0b,2024-07-09T10:32:58Z,TRUE
49,42be9bb3406add90a97893b2b99b5ba5,null,2024-06-03T10:32:43Z,FALSE
50,7a03e01e0c17b2322845242a796adb5e,null,2024-04-28T08:46:53Z,FALSE
51,2621c294649c4fba3c4b7e28b2e7963c,93f2168a515cdf217ee4e7996d850312,2024-07-05T18:36:17Z,TRUE
52,82af0bbf1a6ce06a7477ef67cbf778f8,null,2024-06-03T08:33:48Z,FALSE
53,ea495249a121bc08e63c60247b29909f,null,2024-07-05T07:10:35Z,FALSE
54,dfc1803111418106572366722dc2218e,null,2024-06-02T20:07:44Z,FALSE
55,bc3ec4c799f8a9e3aa0eaf48e1c7f6b9,null,2024-06-13T07:21:10Z,FALSE
56,7a03e01e0c17b2322845242a796adb5e,null,2024-04-29T10:27:02Z,FALSE
57,7a03e01e0c17b2322845242a796adb5e,null,2024-04-23T03:16:50Z,FALSE
58,83bf91e45869444c1efcecbbc979cf91,null,2024-06-11T07:33:43Z,FALSE
59,cfe8f59fb1fe664c4e7fffd531317b0d,null,2024-06-03T09:15:45Z,FALSE
60,c3c1bdd9aed7b3d7b928738b2c2d08b9,3d0480bf43f221700f807b2f9df05517,2024-07-10T06:45:10Z,TRUE
61,86613e057860f1d6bb6d50986d513794,null,2024-06-02T20:31:49Z,FALSE
62,76a9b6f764119b2a549f895666750e43,null,2024-06-03T09:10:09Z,FALSE
63,d2901b10d6d7887f8235e0be7a5a0537,null,2024-05-31T09:13:26Z,FALSE
64,dc1a80010ce0dbdd05c2a1704a72d373,null,2024-06-06T09:38:02Z,FALSE
65,591b6cece96afe619232ca08e808fba7,82ed15391a25795bee96e7e7f152dc74,2024-07-09T07:03:00Z,TRUE
66,7a03e01e0c17b2322845242a796adb5e,null,2024-04-30T02:42:30Z,FALSE
67,7a03e01e0c17b2322845242a796adb5e,null,2024-04-28T10:36:59Z,FALSE
68,2b9e0a6b26e52999d08b0d6223ef8b98,null,2024-06-21T05:49:14Z,FALSE
69,7a03e01e0c17b2322845242a796adb5e,null,2024-04-28T08:39:54Z,FALSE
70,5fa4914857c0ecbec48b0d84c031e679,null,2024-07-02T05:47:23Z,FALSE
71,786f362946b8ba8a062525ec4547d057,null,2024-06-04T08:04:16Z,FALSE
72,5b12ec31189d138a40d3a673419afe47,null,2024-06-03T04:28:23Z,FALSE
73,74575adef8790245e85a01978f5b2a41,null,2024-07-02T10:25:16Z,FALSE
74,2ff8742c5023674c759e4e2180008483,null,2024-06-04T09:07:36Z,FALSE
75,7a03e01e0c17b2322845242a796adb5e,null,2024-04-29T10:13:21Z,FALSE
76,3ee60d12515b2b19b8c7b39e74fcbdf7,null,2024-06-02T20:21:02Z,FALSE
77,7a03e01e0c17b2322845242a796adb5e,null,2024-04-28T10:38:15Z,FALSE
78,7a03e01e0c17b2322845242a796adb5e,null,2024-04-28T10:20:28Z,FALSE
79,5dfd234c6dda8a7e29b6625f31774406,null,2024-06-06T08:48:43Z,FALSE
80,572319d4e73c42a8ca095ae5c04068ea,null,2024-06-06T08:25:55Z,FALSE
81,521580ed0f5755a3f432e9724b524d42,null,2024-06-20T11:48:54Z,FALSE
82,4bcdf4d114ea3d37f39e71e872ebc346,411b62490cb827a87413683b1aad2cc3,2024-07-08T07:09:02Z,TRUE
83,268401d3dd376dc6f26c9d321e9a2ec8,null,2024-06-13T10:17:57Z,FALSE
84,1f0899b8e42fff41b071d6700016fcd9,null,2024-06-04T08:08:09Z,FALSE
85,ea75cfa869fd638a9b7e509a343b5331,null,2024-07-02T06:20:46Z,FALSE
86,6d519c36a80ff8ad0f52fc656099d999,null,2024-07-02T06:31:19Z,FALSE
87,7a03e01e0c17b2322845242a796adb5e,null,2024-04-29T10:22:25Z,FALSE
88,925cab7299c15ed8d056d206cb89690b,8699da6f799e475035c94a1a53f131c0,2024-07-08T08:12:41Z,TRUE
89,9bf56940533b6a47ef957262ef2e7792,d4b50fe31e2f0143ac639aeaeb4b3820,2024-07-08T03:34:13Z,TRUE
90,af35df49bad27ead3bd2cf4e01d88840,null,2024-06-03T08:46:51Z,FALSE
91,f5db52284e6914d6ef9459a9cc4cacbc,null,2024-07-04T04:05:04Z,FALSE
92,7a03e01e0c17b2322845242a796adb5e,null,2024-04-28T10:33:40Z,FALSE
93,ffea2078bee21f79f199256757e5d578,null,2024-06-04T08:48:35Z,FALSE
94,9b6e8a20c7018d32d49fc7154a806041,null,2024-07-02T06:26:31Z,FALSE
95,1f897ae09261bff76ed87de673d7175d,null,2024-06-06T09:07:56Z,FALSE
96,ed818778e57d8fe56c797a7450004a32,de0d476b360046c0d079d5f8fcb77c00,2024-07-10T08:51:11Z,TRUE